authors,docId,docLabel,docTitle,docType,doi,href,publicationDate,publisher,resolvedHref,status.active,referencedBy,docDependancy,currentStatus,details,abstract,abbrevTitle,articleType,copyright.holder,copyright.year,issn.print,number,pages,publisherLocation.city,volume,docTypeAbr,references.bibliographic,references.normative,referencesResolved.bibliographic,referencesResolved.normative,referenceTree,contentType,journalAcronym,keywords,publisherLocation.country,revisionOf,status.stabilized,status.latestVersion,msiLatestAny,msiLatestBase,isLatestAny,docBase,docBaseLabel,isLatestBase,__isNewestInBase,docVersion,status.superseded,status.supersededBy,status.amended,status.amendedBy,status.reaffirmed,docSuiteTitle,group,status.draft,status.unknown,status.withdrawn,status.stabilizedDate,status.statusNote,status.supersededDate,status.versionless,status.amendedDate,docNumber,docPart,status.withdrawnDate,isbn,status.errataExist,repo,relatedDocs,status.reaffirmDate,issn,status.errataUrl,status.supersedes,status.amends,releaseTag,status.state,status.stage,approvalDate,icsCodes,productNumber,standardId,familyId,status.withdrawnNotice,depositDate,currentWork,docElement,status.supersededByr,xmlNamespace
"[""H. E. Ives"",""J. W. Horton"",""R. D. Parker"",""A. B. Clark""]",10.1002-j.1538-7305.1925.tb00946.x,"The Bell System Technical Journal ( Volume: 4, Issue: 2, April 1925)",The transmission of pictures over telephone lines,Journal Article,10.1002/j.1538-7305.1925.tb00946.x,https://doi.org/10.1002/j.1538-7305.1925.tb00946.x,1925-04-01,Nokia Bell Labs,https://ieeexplore.ieee.org/document/6773399,true,"[""10.5594-J05508""]",true,Active,undefined,undefined,undefined,undefined,null,null,null,undefined,undefined,null,undefined,undefined,null,null,null,null,undefined,undefined,undefined,undefined,null,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined
"[""S. B. Wright"",""H. C. Silent""]",10.1002-j.1538-7305.1927.tb00216.x,"The Bell System Technical Journal ( Volume: 6, Issue: 4, October 1927)",The New York-London telephone circuit,Journal Article,10.1002/j.1538-7305.1927.tb00216.x,https://doi.org/10.1002/j.1538-7305.1927.tb00216.x,1927-10-01,Nokia Bell Labs,https://ieeexplore.ieee.org/document/6771817,true,"[""10.5594-J05521""]",true,Active,undefined,undefined,undefined,undefined,null,null,null,undefined,undefined,null,undefined,undefined,null,null,null,null,undefined,undefined,undefined,undefined,null,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined
"[""A. Tulsi Ram""]",10.1016-0141-3910.90.90019-4,"Polymer Degradation and Stability Volume 29, Issue 1, 1990, Pages 3-29",Archival preservation of photographic films—A perspective,Journal Article,10.1016/0141-3910(90)90019-4,https://doi.org/10.1016/0141-3910(90)90019-4,undefined,ScienceDirect,https://linkinghub.elsevier.com/retrieve/pii/0141391090900194,true,"[""10.5594-J02284"",""10.5594-J15292"",""SMPTE.RP131.2002""]",true,Active,undefined,undefined,undefined,undefined,null,null,null,undefined,undefined,null,undefined,undefined,null,null,null,null,undefined,undefined,undefined,undefined,null,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined
"[""L. A. Jones"",""R. B. Wilsey""]",10.1016-S0016-0032.18.90991-9,"J. Franklin Institute, vol. 185, pp. 231, Feb. 1918","The spectral selectivity of photographic deposits: Part I. Theory, Nomenclature, and Methods",Journal Article,10.1016/S0016-0032(18)90991-9,https://doi.org/10.1016/S0016-0032(18)90991-9,1918-02-01,Franklin Institute,https://linkinghub.elsevier.com/retrieve/pii/S0016003218909919,true,"[""10.5594-J08011""]",true,Active,undefined,undefined,undefined,undefined,null,null,null,undefined,undefined,null,undefined,undefined,null,null,null,null,undefined,undefined,undefined,undefined,null,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined
"[""J.G. Capstaff"",""R.A. Purdy""]",10.1016-S0016-0032.28.92060-8,"Trans. Soc. Mot. Pict. Eng., vol. XI, no. 31, pp. 607, 1928.",A compact motion picture densitometer,Journal Article,10.1016/S0016-0032(28)92060-8,https://doi.org/10.1016/S0016-0032(28)92060-8,1928-02-01,Franklin Institute,https://linkinghub.elsevier.com/retrieve/pii/S0016003228920608,true,"[""10.5594-J06549""]",true,Active,undefined,undefined,undefined,undefined,null,null,null,undefined,undefined,null,undefined,undefined,null,null,null,null,undefined,undefined,undefined,undefined,null,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined
"[""Ralph M. Evans"",""W. T. Hanson Jr"",""W. Lyle Brewer""]",10.1063-1.3061757,"Physics Today 7, 9, 18 (1954)",Principles of Color Photography,Journal Article,10.1063/1.3061757,https://doi.org/10.1063/1.3061757,1954-09-01,Physics Today,https://physicstoday.aip.org/reviews/principles-of-color-photography,true,"[""SMPTE.RP180.1999""]",true,Active,undefined,undefined,undefined,undefined,null,null,null,undefined,undefined,null,undefined,undefined,null,null,null,null,undefined,undefined,undefined,undefined,null,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined
"[""A J Bull"",""H Mills Cartwrigh""]",10.1088-0950-7671.1.3.302,"Journal of Scientific Instruments, Volume 1, Number 3",The measurement of photographic density,Journal Article,10.1088/0950-7671/1/3/302,https://doi.org/10.1088/0950-7671/1/3/302,1923-01-01,IOP Publishing Ltd,https://iopscience.iop.org/article/10.1088/0950-7671/1/3/302,true,"[""10.5594-J06549"",""10.5594-J10150""]",true,Active,undefined,undefined,undefined,undefined,null,null,null,undefined,undefined,null,undefined,undefined,null,null,null,null,undefined,undefined,undefined,undefined,null,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined
"[""R.L. Bradshaw"",""T.W. Reid""]",10.1109-20.105066,"IEEE Transactions on Magnetics ( Volume: 27, Issue: 5, September 1991)",Archival stability of IBM 3480/3490 cartridge tapes,Journal Article,10.1109/20.105066,https://doi.org/10.1109/20.105066,1991-09-01,IEEE,https://ieeexplore.ieee.org/document/105066/,true,"[""SMPTE.RP190.1996""]",true,Active,undefined,undefined,undefined,undefined,null,null,null,undefined,undefined,null,undefined,undefined,null,null,null,null,undefined,undefined,undefined,undefined,null,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined
"[""M.C.A. Mathur"",""G.F. Hudson"",""L.D. Hackett""]",10.1109-20.179492,"IEEE Transactions on Magnetics ( Volume: 28, Issue: 5, September 1992)",A detailed study of the environmental stability of metal particle tapes,Journal Article,10.1109/20.179492,https://doi.org/10.1109/20.179492,1992-09-01,IEEE,https://ieeexplore.ieee.org/document/179492/,true,"[""SMPTE.RP190.1996""]",true,Active,need to add references,undefined,undefined,undefined,null,null,null,undefined,undefined,null,undefined,undefined,null,null,null,null,undefined,undefined,undefined,undefined,null,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined
"[""Y. Okazaki"",""K. Hara"",""T. Kawashima"",""A. Sato"",""T. Hirano""]",10.1109-20.179493,"IEEE Transactions on Magnetics ( Volume: 28, Issue: 5, September 1992)",Estimating the archival life of metal particulate tape,Journal Article,10.1109/20.179493,https://doi.org/10.1109/20.179493,1992-09-01,IEEE,https://ieeexplore.ieee.org/document/179493/,true,"[""SMPTE.RP190.1996""]",true,Active,need to add references,undefined,undefined,undefined,null,null,null,undefined,undefined,null,undefined,undefined,null,null,null,null,undefined,undefined,undefined,undefined,null,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined
