path,shape,doi,title,articleType,year,articleId
_source/SMPTE/Journal Article Repository/1916/7229673/7309011/07309012.xml,publication,10.5594/J18047C1,Transactions of the Society of Motion Picture Engineers &#x2014; Cover,info-society,1916,0b00006484a94947
_source/SMPTE/Journal Article Repository/1916/7229673/7309011/07309013.xml,publication,10.5594/J18047XY,Certificate of Incorporation Society of Motion Picture Engineers,info-society,1916,0b00006484a94948
_source/SMPTE/Journal Article Repository/1916/7229673/7309011/07309014.xml,publication,10.5594/J18048XY,Constitution and By-Laws,info-society,1916,0b00006484a94949
_source/SMPTE/Journal Article Repository/1916/7229673/7309011/07309015.xml,publication,10.5594/J18049XY,"Standardization: Address by Henry D. Hubbard, Secretary, U. S. National Bureau Oe Standards, before the Society of Motion Picture Engineers. at its Washington Meeting. Monday, July 24, 1916",info-society,1916,0b00006484a9494a
_source/SMPTE/Journal Article Repository/1916/7229673/7309011/07309016.xml,publication,10.5594/J18050XY,"Society of Motion Picture Engineers Result of Annual Election October, 1916",orig-research,1916,0b00006484a9494b
_source/SMPTE/Journal Article Repository/1916/7229673/7309011/07309017.xml,publication,10.5594/J18053,"Precision, the Dominant Factor in Motion Picture Machines",orig-research,1916,0b00006484a9494c
_source/SMPTE/Journal Article Repository/1916/7229673/7309011/07309018.xml,publication,10.5594/J18054,Motion Picture Film Perforation,orig-research,1916,0b00006484a9494d
_source/SMPTE/Journal Article Repository/1916/7229673/7309011/07309019.xml,publication,10.5594/J18055,"Condensers, their Contour, Size, Location and Support",orig-research,1916,0b00006484a9494e
_source/SMPTE/Journal Article Repository/1916/7229673/7309011/07309020.xml,publication,10.5594/J18051,Society of Motion Picture Engineers,info-society,1916,0b00006484a9494f
_source/SMPTE/Journal Article Repository/1916/7229673/7309011/07309021.xml,publication,10.5594/J18052,Chairman&#x0027;s Address,info-society,1916,0b00006484a94950
_source/SMPTE/Journal Article Repository/1917/7229673/7308220/07308221.xml,publication,10.5594/J18041C1,Transactions of the Society of Motion Picture Engineers &#x2014; Cover,info-society,1917,0b00006484a92fee
_source/SMPTE/Journal Article Repository/1917/7229673/7308220/07308222.xml,publication,10.5594/J18041,"Society of Motion Picture Engineers: Result of Annual Election October, 1916",info-society,1917,0b00006484a92fef
_source/SMPTE/Journal Article Repository/1917/7229673/7308220/07308223.xml,publication,10.5594/J18042,Society of Motion Picture Engineers,info-society,1917,0b00006484a92ff0
_source/SMPTE/Journal Article Repository/1917/7229673/7308220/07308224.xml,publication,10.5594/J18043,President&#x0027;s Address,info-society,1917,0b00006484a92ff1
_source/SMPTE/Journal Article Repository/1917/7229673/7308220/07308225.xml,publication,10.5594/J18044,Motion Picture Cameras,info-society,1917,0b00006484a92ff2
_source/SMPTE/Journal Article Repository/1917/7229673/7308220/07308226.xml,publication,10.5594/J18045,Report of Committee on Electrical Devices,info-society,1917,0b00006484a92ff3
_source/SMPTE/Journal Article Repository/1917/7229673/7308220/07308227.xml,publication,10.5594/J18046,Motion Picture Nomenclature: Adopted in Committee of the Whole Society,info-society,1917,0b00006484a92ff4
_source/SMPTE/Journal Article Repository/1917/7229673/7308228/07308229.xml,publication,10.5594/J18025C1XY,Transactions of the Society of Motion Picture Engineers &#x2014; Cover,info-society,1917,0b00006484a92ff6
_source/SMPTE/Journal Article Repository/1917/7229673/7308228/07308230.xml,publication,10.5594/J18025XY,Society of Motion Picture Engineers,orig-research,1917,0b00006484a93035
_source/SMPTE/Journal Article Repository/1917/7229673/7308228/07308231.xml,publication,10.5594/J18033XY,The Projection of Motion Pictures by Means of Incandescent Lamps,orig-research,1917,0b00006484a93036
_source/SMPTE/Journal Article Repository/1917/7229673/7308228/07308232.xml,publication,10.5594/J18034XY,Light Intensities for Motion Picture Projection,orig-research,1917,0b00006484a93037
_source/SMPTE/Journal Article Repository/1917/7229673/7308228/07308253.xml,publication,10.5594/J18026XY,President&#x0027;s Address,info-society,1917,0b00006484a93038
_source/SMPTE/Journal Article Repository/1917/7229673/7308228/07308254.xml,publication,10.5594/J18027XY,Motion Picture Standards: Adopted in Committee of the Whole Society,info-society,1917,0b00006484a93039
_source/SMPTE/Journal Article Repository/1917/7229673/7308228/07308255.xml,publication,10.5594/J18028XY,Motion Picture Nomenclature: Adopted in Committee of the Whole Society,info-society,1917,0b00006484a9303a
_source/SMPTE/Journal Article Repository/1917/7229673/7308228/07308256.xml,publication,10.5594/J18029XY,Offset Projection,info-society,1917,0b00006484a9303b
_source/SMPTE/Journal Article Repository/1917/7229673/7308228/07308257.xml,publication,10.5594/J18030XY,The Motion Picture Booth,info-society,1917,0b00006484a9303c
_source/SMPTE/Journal Article Repository/1917/7229673/7308228/07308258.xml,publication,10.5594/J18031XY,Report of Committee on Electrical Devices,info-society,1917,0b00006484a9303d
_source/SMPTE/Journal Article Repository/1917/7229673/7308228/07308259.xml,publication,10.5594/J18032XY,Motor Generator Equipment,info-society,1917,0b00006484a9303e
_source/SMPTE/Journal Article Repository/1917/7229673/7309022/07309023.xml,publication,10.5594/J18035C1,Transactions of the Society of Motion Picture Engineers &#x2014; Cover,info-society,1917,0b00006484a949a9
_source/SMPTE/Journal Article Repository/1917/7229673/7309022/07309024.xml,publication,10.5594/J18035,Society of Motion Picture Engineers,orig-research,1917,0b00006484a949aa
_source/SMPTE/Journal Article Repository/1917/7229673/7309022/07309025.xml,publication,10.5594/J18038,Report by the Committee on Optics to the Society of Motion Picture Engineers,info-society,1917,0b00006484a949ab
_source/SMPTE/Journal Article Repository/1917/7229673/7309022/07309026.xml,publication,10.5594/J18039,"Motion Picture, Standards: Adopted in Committee of the Whole Society",orig-research,1917,0b00006484a949ac
_source/SMPTE/Journal Article Repository/1917/7229673/7309022/07309027.xml,publication,10.5594/J18040,Motion Picture Nomenclature: Adopted in Committee of the Whole Society,info-society,1917,0b00006484a949ad
_source/SMPTE/Journal Article Repository/1917/7229673/7309022/07309028.xml,publication,10.5594/J18036,President&#x0027;s Address,info-society,1917,0b00006484a949ae
_source/SMPTE/Journal Article Repository/1917/7229673/7309022/07309029.xml,publication,10.5594/J18037,Notice,info-society,1917,0b00006484a949af
_source/SMPTE/Journal Article Repository/1918/7229673/7229487/07229488.xml,publication,10.5594/J17989C1,Transactions of the Society of Motion Picture Engineers &#x2014; Cover,info-society,1918,0b000064849ba48c
_source/SMPTE/Journal Article Repository/1918/7229673/7229487/07229489.xml,publication,10.5594/J17989,President&#x0027;s Address,info-society,1918,0b000064849ba48d
_source/SMPTE/Journal Article Repository/1918/7229673/7229487/07229490.xml,publication,10.5594/J17990,Society History,info-society,1918,0b000064849ba48e
_source/SMPTE/Journal Article Repository/1918/7229673/7229487/07229491.xml,publication,10.5594/J17991,"Standardization of the Motion Picture Industry, and the Ideal Studio",orig-research,1918,0b000064849ba48f
_source/SMPTE/Journal Article Repository/1918/7229673/7229487/07229492.xml,publication,10.5594/J17992,Motion Picture Film in the Making,orig-research,1918,0b000064849ba490
_source/SMPTE/Journal Article Repository/1918/7229673/7229487/07229933.xml,publication,10.5594/J17993,Carbon Arc for Motion Picture Projection,orig-research,1918,0b000064849ba491
_source/SMPTE/Journal Article Repository/1918/7229673/7229487/07229934.xml,publication,10.5594/J17994,The Projection Room and its Requirements,orig-research,1918,0b000064849ba492
_source/SMPTE/Journal Article Repository/1918/7229673/7229487/07229935.xml,publication,10.5594/J17995,Natural Color Cinematography,orig-research,1918,0b000064849ba493
_source/SMPTE/Journal Article Repository/1918/7229673/7229487/07229936.xml,publication,10.5594/J17996,The Function of the Condenser in the Projection Apparatus,orig-research,1918,0b000064849ba494
_source/SMPTE/Journal Article Repository/1918/7229673/7229487/07229937.xml,publication,10.5594/J17997,Sprocket Teeth and Film Perforations and their Relationship to Better Projection,orig-research,1918,0b000064849ba4d2
_source/SMPTE/Journal Article Repository/1918/7229673/7229487/07229938.xml,publication,10.5594/J17998,Fundamentals of Illumination in Motion Picture Projection,orig-research,1918,0b000064849ba4d3
_source/SMPTE/Journal Article Repository/1918/7229673/7229487/07229939.xml,publication,10.5594/J17999,"Advantages in the Use of the New Standard, Narrow Width, Slow-Burning Film for Portable Projectors",orig-research,1918,0b000064849ba4d4
_source/SMPTE/Journal Article Repository/1918/7229673/7308278/07308279.xml,publication,10.5594/J18000C1,Transactions of the Society of Motion Picture Engineers &#x2014; Cover,info-society,1918,0b00006484a930c1
_source/SMPTE/Journal Article Repository/1918/7229673/7308278/07308280.xml,publication,10.5594/J18000,President&#x0027;s Address,info-society,1918,0b00006484a930f5
_source/SMPTE/Journal Article Repository/1918/7229673/7308278/07308281.xml,publication,10.5594/J18001,Standardization of Exposure,info-society,1918,0b00006484a930f6
_source/SMPTE/Journal Article Repository/1918/7229673/7308278/07308282.xml,publication,10.5594/J18002,Optical Requirements of Motion Picture Projection Objectives,orig-research,1918,0b00006484a930f7
_source/SMPTE/Journal Article Repository/1918/7229673/7308278/07308283.xml,publication,10.5594/J18003,Artificial Light in the Motion Picture Studio,orig-research,1918,0b00006484a930f8
_source/SMPTE/Journal Article Repository/1918/7229673/7308278/07308284.xml,publication,10.5594/J18005,The Portable Projector; Its Present Status and Needs,orig-research,1918,0b00006484a930f9
