path,shape,doi,title,articleType,year,articleId
_source/SMPTE/Conference Repository/Conference Papers/1969/7261454/7261455/07261456.xml,publication,10.5594/M00918,Foreword,orig-research,1969,0b000064849f99b9
_source/SMPTE/Conference Repository/Conference Papers/1969/7261454/7261455/07261457.xml,publication,10.5594/M00919,Super 8: Whither Bound&#x003F;,orig-research,1969,0b000064849f99ba
_source/SMPTE/Conference Repository/Conference Papers/1969/7261454/7261455/07261458.xml,publication,10.5594/M00920,The Evolution of Quality in 8mm Prints,orig-research,1969,0b000064849f99bb
_source/SMPTE/Conference Repository/Conference Papers/1969/7261454/7261455/07261459.xml,publication,10.5594/M00921,8mm Cartridge/Cassette/Film Standardization,orig-research,1969,0b000064849f99bc
_source/SMPTE/Conference Repository/Conference Papers/1969/7261454/7261455/07261460.xml,publication,10.5594/M00922,Parameters for Super 8 Optical Sound,orig-research,1969,0b000064849f99bd
_source/SMPTE/Conference Repository/Conference Papers/1969/7261454/7261455/07261461.xml,publication,10.5594/M00923,16mm and Super 8: Noncompetitive Media,orig-research,1969,0b000064849f99be
_source/SMPTE/Conference Repository/Conference Papers/1969/7261454/7261455/07261462.xml,publication,10.5594/M00924,Lack of Standardization on Hardware in Super 8,orig-research,1969,0b000064849f99f1
_source/SMPTE/Conference Repository/Conference Papers/1969/7261454/7261455/07261463.xml,publication,10.5594/M00925,8mm Printing Systems,orig-research,1969,0b000064849f99f2
_source/SMPTE/Conference Repository/Conference Papers/1969/7261454/7261455/07261464.xml,publication,10.5594/M00926,A Super 8 Projection Cartridge System for Automatic Loading and Operation,orig-research,1969,0b000064849f99f3
_source/SMPTE/Conference Repository/Conference Papers/1969/7261454/7261455/07261465.xml,publication,10.5594/M00927,The Future of Super 8 in the Department of Defense,orig-research,1969,0b000064849f99f4
_source/SMPTE/Conference Repository/Conference Papers/1969/7261454/7261455/07261466.xml,publication,10.5594/M00928,Super 8: A Producer&#x0027;s Viewpoint,orig-research,1969,0b000064849f99f5
_source/SMPTE/Conference Repository/Conference Papers/1969/7261454/7261455/07261467.xml,publication,10.5594/M00929,The Standardization of the Super 8 System,orig-research,1969,0b000064849f99f6
_source/SMPTE/Conference Repository/Conference Papers/1969/7261454/7261455/07261468.xml,publication,10.5594/M00930,The Possibilities and Advantages of 8mm Film in the Educational Field,orig-research,1969,0b000064849f99f7
_source/SMPTE/Conference Repository/Conference Papers/1969/7261454/7261455/07261469.xml,publication,10.5594/M00931,Loop Projectors and Optical Sound,orig-research,1969,0b000064849f99f8
_source/SMPTE/Conference Repository/Conference Papers/1969/7261454/7261455/07261470.xml,publication,10.5594/M00932,The Bell &#x0026; Howell 8mm Cartridge Projection System,orig-research,1969,0b000064849f99f9
_source/SMPTE/Conference Repository/Conference Papers/1969/7261454/7261455/07261471.xml,publication,10.5594/M00933,Panel Discussion: Super 8 Production Techniques,orig-research,1969,0b000064849f99fa
_source/SMPTE/Conference Repository/Conference Papers/1969/7261454/7261455/07261472.xml,publication,10.5594/M00934,Standards on the Super 8 System,orig-research,1969,0b000064849f9a2d
_source/SMPTE/Conference Repository/Conference Papers/1969/7261454/7261455/07261473.xml,publication,10.5594/M00935,Bibliography,orig-research,1969,0b000064849f9a2e
_source/SMPTE/Conference Repository/Conference Papers/1970/7261391/7261392/07261393.xml,publication,10.5594/M00688,Foreword,orig-research,1970,0b000064849f9842
_source/SMPTE/Conference Repository/Conference Papers/1970/7261391/7261392/07261394.xml,publication,10.5594/M00689,"Remarks before the SMPTE, October 8, 1970",orig-research,1970,0b000064849f9843
_source/SMPTE/Conference Repository/Conference Papers/1970/7261391/7261392/07261395.xml,publication,10.5594/M00690,Broadband Communications: A View from the CAT-bird Seat,orig-research,1970,0b000064849f9844
_source/SMPTE/Conference Repository/Conference Papers/1970/7261391/7261392/07261396.xml,publication,10.5594/M00691,Panel Discussion: The Coming Software Explosion for Cable Television,orig-research,1970,0b000064849f9845
_source/SMPTE/Conference Repository/Conference Papers/1970/7261391/7261392/07261397.xml,publication,10.5594/M00692,"Ground Stations, the CATV Satellite Interface",orig-research,1970,0b000064849f9846
_source/SMPTE/Conference Repository/Conference Papers/1970/7261391/7261392/07261398.xml,publication,10.5594/M00693,Local Programing on Film for Cable Television,orig-research,1970,0b000064849f9847
_source/SMPTE/Conference Repository/Conference Papers/1970/7261391/7261392/07261399.xml,publication,10.5594/M00694,Cable Television Needs a Complete Super-8 Film System,orig-research,1970,0b000064849f9848
_source/SMPTE/Conference Repository/Conference Papers/1970/7261391/7261392/07261400.xml,publication,10.5594/M00695,Automatic Programing for Cable Television,orig-research,1970,0b000064849f9849
_source/SMPTE/Conference Repository/Conference Papers/1970/7261391/7261392/07261401.xml,publication,10.5594/M00696,Suggested Technical Standards for CATV Program Origination,orig-research,1970,0b000064849f984a
_source/SMPTE/Conference Repository/Conference Papers/1970/7261391/7261392/07261402.xml,publication,10.5594/M00697,Chrominance/Luminance Crosstalk in Cable Television Demodulators,orig-research,1970,0b000064849f987d
_source/SMPTE/Conference Repository/Conference Papers/1970/7261391/7261392/07261403.xml,publication,10.5594/M00698,A Color Camera Designed for Cable Television,orig-research,1970,0b000064849f987e
_source/SMPTE/Conference Repository/Conference Papers/1970/7261391/7261392/07261404.xml,publication,10.5594/M00699,Simplified Color Slide TV Camera System for Cable Television,orig-research,1970,0b000064849f987f
_source/SMPTE/Conference Repository/Conference Papers/1970/7261391/7261392/07261405.xml,publication,10.5594/M00700,Operation and Control of the Professional-Type Color Camera through CATV Cable,orig-research,1970,0b000064849f9880
_source/SMPTE/Conference Repository/Conference Papers/1970/7261391/7261392/07261406.xml,publication,10.5594/M00701,Coaxial Cable for Municipal Services,orig-research,1970,0b000064849f9881
_source/SMPTE/Conference Repository/Conference Papers/1970/7261391/7261392/07261407.xml,publication,10.5594/M00702,Utility Meter Reading and the Realization of Two-Way Communications,orig-research,1970,0b000064849f9882
_source/SMPTE/Conference Repository/Conference Papers/1970/7261391/7261392/07261408.xml,publication,10.5594/M00703,Applications for a Bidirectional Broadband Coaxial Cable Communications System,orig-research,1970,0b000064849f9883
_source/SMPTE/Conference Repository/Conference Papers/1970/7261391/7261392/07261409.xml,publication,10.5594/M00704,Interactive Television&#x2014;What it Means to Cable Television,orig-research,1970,0b000064849f9884
_source/SMPTE/Conference Repository/Conference Papers/1970/7261391/7261392/07261410.xml,publication,10.5594/M00705,How Receiver Design Affects Cable Television Performance Specifications,orig-research,1970,0b000064849f9885
_source/SMPTE/Conference Repository/Conference Papers/1970/7261391/7261392/07261411.xml,publication,10.5594/M00706,Receiver/Cable Television Problems and Case Histories,orig-research,1970,0b000064849f9886
