docId,docTitle,publicationDate,bucket,registered_doi_current,should_be_canonical_doi,href_current,should_be_href,note
SMPTE.RDD48.2018Am1.2022,MXF Archive and Preservation Format Registered Disclosure Document,2022-05-24,amendment-drift,10.5594/SMPTE.RDD48.2018Amd1.2022,10.5594/SMPTE.RDD48.2018Am1.2022,https://doi.org/10.5594/SMPTE.RDD48.2018Amd1.2022,https://doi.org/10.5594/SMPTE.RDD48.2018Am1.2022,"Amendment notation drift: registry uses ""Am1"" in the docId while the actually-registered DOI per Zoho uses ""Amd1"" (10.5594/SMPTE.RDD48.2018Amd1.2022). Both notations are valid for ""Amendment 1"" — UPSTREAM ACTION NEEDED: SMPTE should register both DOI forms so they're interchangeable. Field locked via excludeChanges so future cross-fills can't toggle this back."
SMPTE.ST2019-4.2016Am1.2024,Mapping VC-3 Coding Units into the MXF Generic Container,2024-05-02,amendment-drift,10.5594/SMPTE.ST2019-4.2016Amd1.2024,10.5594/SMPTE.ST2019-4.2016Am1.2024,https://doi.org/10.5594/SMPTE.ST2019-4.2016Amd1.2024,https://doi.org/10.5594/SMPTE.ST2019-4.2016Am1.2024,"Amendment notation drift: registry uses ""Am1"" in the docId while the actually-registered DOI per Zoho uses ""Amd1"" (10.5594/SMPTE.ST2019-4.2016Amd1.2024). Both notations are valid for ""Amendment 1"" — UPSTREAM ACTION NEEDED: SMPTE should register both DOI forms so they're interchangeable. Field locked via excludeChanges so future cross-fills can't toggle this back."
SMPTE.ST268-2.2018Am1.2022,Format Extensions for High Dynamic Range and Wide Color Gamut,2022-05-04,amendment-drift,10.5594/SMPTE.ST268-2.2018Amd1.2022,10.5594/SMPTE.ST268-2.2018Am1.2022,https://doi.org/10.5594/SMPTE.ST268-2.2018Amd1.2022,https://doi.org/10.5594/SMPTE.ST268-2.2018Am1.2022,"Amendment notation drift: registry uses ""Am1"" in the docId while the actually-registered DOI per Zoho uses ""Amd1"" (10.5594/SMPTE.ST268-2.2018Amd1.2022). Both notations are valid for ""Amendment 1"" — UPSTREAM ACTION NEEDED: SMPTE should register both DOI forms so they're interchangeable. Field locked via excludeChanges so future cross-fills can't toggle this back."
SMPTE.ST331.2011Am1.2023,Element and Metadata Definitions for the SDTI-CP,2024-02-06,amendment-drift,10.5594/SMPTE.ST331.2011Amd1.2023,10.5594/SMPTE.ST331.2011Am1.2023,https://doi.org/10.5594/SMPTE.ST331.2011Amd1.2023,https://doi.org/10.5594/SMPTE.ST331.2011Am1.2023,"Amendment notation drift: registry uses ""Am1"" in the docId while the actually-registered DOI per Zoho uses ""Amd1"" (10.5594/SMPTE.ST331.2011Amd1.2023). Both notations are valid for ""Amendment 1"" — UPSTREAM ACTION NEEDED: SMPTE should register both DOI forms so they're interchangeable. Field locked via excludeChanges so future cross-fills can't toggle this back."
SMPTE.OV2067-0.2021,Interoperable Master Format,2021-05-25,malformed,10.5594/SMPTE.OV2067-0-2021,10.5594/SMPTE.OV2067-0.2021,https://doi.org/10.5594/SMPTE.OV2067-0-2021,https://doi.org/10.5594/SMPTE.OV2067-0.2021,"Corrected to the actually-registered (malformed) DOI form from Zoho standards export (_source/SMPTE/Zoho/SMPTE Standards Document Zoho Export 2026-05-21.json). The DOI registrar received this DOI with a duplicated SMPTE. prefix and that's the only form that resolves at doi.org — the SMPTE-canonical form (matching this doc's docId) does NOT resolve. UPSTREAM ACTION NEEDED: SMPTE should re-register this DOI in the canonical form to match the docId; once that lands, this field can be flipped back and the excludeChanges lock removed. Field locked via excludeChanges so future cross-fills can't ""fix"" it back to the unresolvable canonical form before the upstream re-registration happens."
SMPTE.OV2073-0.2023-02,Document Suite Overview,2023-02-23,malformed,10.5594/SMPTE.OV2073-0.2023,10.5594/SMPTE.OV2073-0.2023-02,https://doi.org/10.5594/SMPTE.OV2073-0.2023,https://doi.org/10.5594/SMPTE.OV2073-0.2023-02,"Corrected to the actually-registered (malformed) DOI form from Zoho standards export (_source/SMPTE/Zoho/SMPTE Standards Document Zoho Export 2026-05-21.json). The DOI registrar received this DOI with a duplicated SMPTE. prefix and that's the only form that resolves at doi.org — the SMPTE-canonical form (matching this doc's docId) does NOT resolve. UPSTREAM ACTION NEEDED: SMPTE should re-register this DOI in the canonical form to match the docId; once that lands, this field can be flipped back and the excludeChanges lock removed. Field locked via excludeChanges so future cross-fills can't ""fix"" it back to the unresolvable canonical form before the upstream re-registration happens."
SMPTE.RDD56.2021,Track File for JPEG 2000 Codestreams with Time-Synchronous Metadata,2021-02-25,malformed,10.5594/SMPTE.SMPTERDD56.2021,10.5594/SMPTE.RDD56.2021,https://doi.org/10.5594/SMPTE.SMPTERDD56.2021,https://doi.org/10.5594/SMPTE.RDD56.2021,"Corrected to the actually-registered (malformed) DOI form from Zoho standards export (_source/SMPTE/Zoho/SMPTE Standards Document Zoho Export 2026-05-21.json). The DOI registrar received this DOI with a duplicated SMPTE. prefix and that's the only form that resolves at doi.org — the SMPTE-canonical form (matching this doc's docId) does NOT resolve. UPSTREAM ACTION NEEDED: SMPTE should re-register this DOI in the canonical form to match the docId; once that lands, this field can be flipped back and the excludeChanges lock removed. Field locked via excludeChanges so future cross-fills can't ""fix"" it back to the unresolvable canonical form before the upstream re-registration happens."
SMPTE.RDD58.2021,Carriage of Live Production Metadata,2021-05-10,malformed,10.5594/SMPTE.SMPTERDD58.2021,10.5594/SMPTE.RDD58.2021,https://doi.org/10.5594/SMPTE.SMPTERDD58.2021,https://doi.org/10.5594/SMPTE.RDD58.2021,"Corrected to the actually-registered (malformed) DOI form from Zoho standards export (_source/SMPTE/Zoho/SMPTE Standards Document Zoho Export 2026-05-21.json). The DOI registrar received this DOI with a duplicated SMPTE. prefix and that's the only form that resolves at doi.org — the SMPTE-canonical form (matching this doc's docId) does NOT resolve. UPSTREAM ACTION NEEDED: SMPTE should re-register this DOI in the canonical form to match the docId; once that lands, this field can be flipped back and the excludeChanges lock removed. Field locked via excludeChanges so future cross-fills can't ""fix"" it back to the unresolvable canonical form before the upstream re-registration happens."
SMPTE.RDD60.2025-05,Mapping Immersive Audio Bitstream into the MXF Generic Container for Repository File Formats,2025-05-12,malformed,10.5594/SMPTE.RDD60.2025,10.5594/SMPTE.RDD60.2025-05,https://doi.org/10.5594/SMPTE.RDD60.2025,https://doi.org/10.5594/SMPTE.RDD60.2025-05,"Corrected to the actually-registered (malformed) DOI form from Zoho standards export (_source/SMPTE/Zoho/SMPTE Standards Document Zoho Export 2026-05-21.json). The DOI registrar received this DOI with a duplicated SMPTE. prefix and that's the only form that resolves at doi.org — the SMPTE-canonical form (matching this doc's docId) does NOT resolve. UPSTREAM ACTION NEEDED: SMPTE should re-register this DOI in the canonical form to match the docId; once that lands, this field can be flipped back and the excludeChanges lock removed. Field locked via excludeChanges so future cross-fills can't ""fix"" it back to the unresolvable canonical form before the upstream re-registration happens."
SMPTE.RDD61.2025-05,Mapping ARRICORE Bitstreams into the MXF Generic Container,2025-05-12,malformed,10.5594/SMPTE.RDD61.2025,10.5594/SMPTE.RDD61.2025-05,https://doi.org/10.5594/SMPTE.RDD61.2025,https://doi.org/10.5594/SMPTE.RDD61.2025-05,"Corrected to the actually-registered (malformed) DOI form from Zoho standards export (_source/SMPTE/Zoho/SMPTE Standards Document Zoho Export 2026-05-21.json). The DOI registrar received this DOI with a duplicated SMPTE. prefix and that's the only form that resolves at doi.org — the SMPTE-canonical form (matching this doc's docId) does NOT resolve. UPSTREAM ACTION NEEDED: SMPTE should re-register this DOI in the canonical form to match the docId; once that lands, this field can be flipped back and the excludeChanges lock removed. Field locked via excludeChanges so future cross-fills can't ""fix"" it back to the unresolvable canonical form before the upstream re-registration happens."
